Number,Title,Description,Categories,Video,Timestamp,PrimaryGroup
1,"Array.Empty for zero-allocation empties","When you need to return an empty collection, use Array.Empty<T>() or Enumerable.Empty<T>(). This allocates a single static instance, reducing GC pressure compared to new T[0].","runtime-performance,collections","https://www.youtube.com/watch?v=8F-Pb-SKO5g","00:35","Runtime & performance"
2,"Rethrow exceptions properly","Using 'throw ex;' resets the stack trace. Use 'throw;' to preserve the original stack trace for debugging.","error-handling,design","https://www.youtube.com/watch?v=8F-Pb-SKO5g","01:23","Design & architecture"
3,"SemaphoreSlim for async-safe locking","The lock keyword doesn't work with await. Use SemaphoreSlim(1) with WaitAsync and Release for thread-safe async locking.","threading,async","https://www.youtube.com/watch?v=8F-Pb-SKO5g","02:15","Runtime & performance"
4,"Avoid multiple LINQ enumerations","LINQ queries execute every time you iterate them. Materialize to a List or Array if you need to access the data multiple times (e.g., Count + Loop).","LINQ,runtime-performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","03:11","Runtime & performance"
5,"C# REPL (csrepl)","Use dotnet-repl or C# Interactive to test snippets quickly without creating a project.","tooling,productivity","https://www.youtube.com/watch?v=8F-Pb-SKO5g","04:03","Tooling & DX"
6,"Use CollectionsMarshal.AsSpan on List","Get a Span<T> from a List<T> without allocation using CollectionsMarshal.AsSpan. It is unsafe but highly performant.","runtime-performance,span","https://www.youtube.com/watch?v=8F-Pb-SKO5g","04:41","Runtime & performance"
7,"Structured logging templates","Avoid string interpolation in logging. Use message templates (e.g., '{UserId}') to save memory and enable structured querying.","logging,design","https://www.youtube.com/watch?v=8F-Pb-SKO5g","05:22","Design & architecture"
8,"Empty types with semicolon","C# 12 allows declaring empty classes/interfaces with a semicolon, reducing boilerplate.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","06:07","Language & syntax"
9,"Choose ToList vs ToArray deliberately","Return List<T> if the consumer modifies the collection. Return Array if it is fixed. .NET 9 optimized ToArray significantly.","collections,performance","https://www.youtube.com/watch?v=8F-Pb-SKO5g","06:38","Runtime & performance"
10,"Assembly markers for DI","Use dedicated empty interfaces (IAssemblyMarker) instead of 'Program' class for scanning assemblies in DI.","architecture,DI","https://www.youtube.com/watch?v=8F-Pb-SKO5g","07:19","Design & architecture"
11,"StringSyntax attribute","Mark string parameters with [StringSyntax] (Regex, JSON) to get IDE highlighting and validation.","language,tooling","https://www.youtube.com/watch?v=8F-Pb-SKO5g","08:00","Language & syntax"
12,"Primary Constructors","Define constructor parameters directly on the class declaration. Note they are captured in scope, not auto-generated fields.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","08:35","Language & syntax"
13,"UUID v7 (Sortable GUIDs)","Use Guid.CreateVersion7() for time-sortable GUIDs, which are better for database indexing than random v4 GUIDs.","tooling,database","https://www.youtube.com/watch?v=8F-Pb-SKO5g","09:11","Tooling & DX"
14,"Smallest valid C# program","An empty file is a valid C# program due to top-level statements generating the entry point automatically.","language,trivia","https://www.youtube.com/watch?v=8F-Pb-SKO5g","09:53","Language & syntax"
15,"Use built-in CancellationTokens","Accept CancellationToken in API actions. ASP.NET automatically links it to the request lifetime.","asp.net,async","https://www.youtube.com/watch?v=8F-Pb-SKO5g","10:23","Design & architecture"
16,"Collection expressions","Use square brackets [...] to initialize lists, arrays, and spans in C# 12.","language,syntax","https://www.youtube.com/watch?v=8F-Pb-SKO5g","10:57","Language & syntax"
17,"dotnet-outdated","Use the dotnet-outdated global tool to find which NuGet packages in your solution need updating.","tooling,nuget","https://www.youtube.com/watch?v=8F-Pb-SKO5g","11:21","Tooling & DX"
